FTITLE,FDESC,TYPE
亲家,"《亲家》是一部都市情感剧，它主要是抓住了作为亲家的两家人之间的感人故事，展现了一幅立体的情感图景！由于现代题材特别是亲情题材的电视剧是市场上的主流，但精品实属凤毛麟角！其重要原因就是这些题材的电视剧往往追求尖锐的矛盾冲突，乃至看似悲情的结局，这样的充斥着编造之感的作品填充了观众的大脑，早已激不起观众的情感反应。观众需要的不一定是大起大浮的矛盾和精心编造的悬念，相反，作为茶余饭后的娱乐必需，人们需要的更是一些充满着生活气息和以真实情感为源泉的真诚的剧本！  　  《亲家》以真实生活为背景，描写两家感人的亲情，立体的展现一个观众熟悉而又陌生的故事！本剧具备了大量的矛盾冲突和激烈的情感纠葛，尽量不去正面的，或者大篇幅的赋予这些矛盾，而把这些激烈的情感反应作为铺衬，正面展现人物在这样的情境下的情感反应，描写他们在冲突发生前和发生后的变化或不变化！把人物和情感放在第一位！有一个个饱满的人物存在，为此《亲家》才有吸引力！才成为了精品中的精品。  　　《亲家》不同于以往的都市情感剧，而有其独特的看点：  　　中国首部以两种截然不同的家政方针为背景的生活剧。  　　以亲家的关系纠结了两家人的生活，以两家普通生活下的情感纠葛以及生活差异为组织方式，突出了两家上一代在进入银婚阶段的细微情感变化，及第二代年轻人面临情感危机时迥异的处理方式，并突出了家人对第三代人的态度和展望。  　　全剧以两家女儿的婚姻琐事为发展脉络，关照了亲情和友情的境况。  　　该剧的情节结构方法是以大量的细节支撑，以年轻人情感纠葛的内心历程贯穿，以无法剥离的两家各色人等的情感关系为精神线索。以轻松、平实的台词风格，饱满、独特的人物性格吸引观众。  　　周晓丽从农村来到完全陌生的城市和家庭，再到独自勇敢的离开，不仅是自身的飞跃，更是对与王书培和王家清醒的认识，其人物起伏之大，情感反映之强烈，都不亚于一般以情节取胜的电视剧。  　　该剧中年轻人的感情纠葛在从容平和的情境中展开，不去刻意的追求所谓跌宕起伏的剧情与人物命运，一切从人物内心出发，旨在探究当代中国年轻一代对待生活与爱情的态度，以细腻的笔触去精心刻画人物内心世界。  　　关于“特殊族群”。本剧涉及了社会上流行的所谓“第三类人”的说法，即除去男人女人的第三类人——女博士(王书怡)。探讨了所谓“第三类人”的婚姻爱情生活，并且提出了“第三了人”也是女人，也享有爱情和婚姻的权利。  　　该剧通过儿女的婚事将四位亲家紧紧捆绑在一起,时而对立,时而统一.,相信此剧一定会深深吸住观众的眼球…","生活,情感,偶像"
中国家庭 第一部,大年夜，雪飞扬。过年的气氛更浓，严家的火药味儿却更重。他们又吵架了，严川与米佳，一对年轻的小夫妻。随即，婆婆姑姑齐上阵，谩骂米佳“麻雀变凤凰”，有幸成为严家豪门独子儿媳，却是“不下蛋的母鸡”。一气之下，米佳甩了“离婚”二字夺门而出，拂袖长去。于是，婆婆秋莎又开始骂骂咧咧，一个劲儿地指责儿子不该娶这种“门不当户不对”的女人为妻，太不懂规矩，也难怪出身于低层家庭，就是十足的小市民。然而，这个家在米佳看来，更是图有虚名，什么豪门，狗屁，就是一个地道的中国式的暴发户，顾名思义透着一个字：俗！  　　米佳跑回了家，一番哭诉母生气，破口大骂严家“狗眼看人低”，非拉着女儿找他们评理去，还想拖着儿子米强一块儿去。米强是米佳的弟弟，却不在家。殊不知，此刻的他，因为网恋认识了尚晓芸，正猫在她的租赁房“甜蜜蜜”。然而，正是这夜网恋情，却为将来埋下了祸根，也殃及到姐姐的命运，酿成了巨大的家庭悲剧！,"生活,偶像,情感"
再见爱人,韦玉莲自幼随父亲练了一身好武功，虽然她生活在边远山区，但对外面的世界充满了向往。玉莲与母亲决定去深圳探望兄长，开开眼界，却遇到了被韦有成所骗的钟文基。文基原是某集团的私人保镖，因在一起人质绑架案中表现神勇，被传为佳话，但因失手开枪伤人，从此对枪产生了严重的心理障碍，无奈之下只好辞去公职，后来应聘一大公司出任深圳某大厦保安主管。一个偶然的机会，韦玉莲闯入了他的生活。玉莲与文基不是冤家不聚头，虽然惹出许多误会，但几经周折后喜结良缘。 　　一次文基与歹徒狭路相逢，幸得玉莲拔刀相助，终擒歹徒，玉莲因此成为一名女保安。由于玉莲工作出色，身手不凡，获得众人赞赏，凡事请教之，文基自尊心受损，更因该出手时没出手，使妹妹遭受重创。同时与玉莲感情出现危机，玉莲好友朱明慧便乘虚而入，不惜横刀夺爱。三人陷入了感情漩涡之中。逃犯聂世官一直暗中盯着文基，欲施以报复，并挟持玉莲作人质，文基为救爱妻，终于克服不敢开枪的阴影，拼死也要救回心爱的女人，他终于克服心理阴影，向歹徒扣动了扳机。,"生活,情感,偶像"
大案组,这是一部展示我国缉毒警察智勇双全，与贩毒犯罪分子展开殊死斗争的故事。 　　某市发生一连串命案，经调查这都与涉毒有关，为此，公安局长指示刑警队队长雷霆成立专案小组侦破这些系列贩毒案，派出所治安警沙城也加入刑警队专案小组。 　　在办案过程中，队长雷霆等干警发现新型毒品已经开始渗入某市。为了打击制毒犯罪团伙，追查制毒配方的来源，公安局领导安排年轻的女刑警张叶和沙城一起到大学化学楼展开调查，张叶和沙城在调查中发现科技精英宫教授竟然是罪恶的帮凶。 　　为了引出毒枭昆哥，雷霆派张叶只身进入敌穴展开智与勇的较量，终于在两代警员的共同努力下，破获了一个利用娱乐城贩毒的犯罪团伙。,"犯罪,生活,偶像"
肥猫寻亲记,童年的肥猫在一场疾病后，“不幸”变成了轻度弱智。却又因弱智而不明人间疾苦，“幸运”地成为了最开心的一个孩子。独力抚养儿女的肥猫妈妈因生活艰难无能为力，终于在堂叔的建议和安排下，将四个孩子分别送人，独留下肥猫在身边。  　　二十年后，肥猫已长大，家中生活亦有所改善，肥猫母子仍相依为命。  　　肥猫妈妈对于当年抛弃的四个儿女，一直心存内疚，终至抑郁成疾，撒手尘寰。临终时的心愿，就是希望可以一家团聚，于是肥猫踏上了孤身寻亲之路……,"生活,偶像"
将装修进行到底,实创装饰公司经理马骏为人豪爽、生性圆滑、能说会道、酷爱飙车；业务经理贝贝是个健康漂亮、活泼可爱、聪明伶俐、左右逢源的时尚女孩；设计师Techie才华横溢、精通电脑、却有点一根筋，这三个人每次都意外地接到装修生意，更让客户惊喜的是他们拿出的一套让人满意的装修方案。钱多多、尚大胖子各自拥有一支装修队，常常接手实创公司的工程。钱多多尖酸刻薄、为人狡猾；尚大胖子表面憨厚、内心却精于算计，为了得到实创的生意，二人总是明争暗斗，将本剧平凡人物刻画得惟妙惟肖。,"生活,喜剧,偶像"
情锁,868夜总会六周年庆，杨素卿的艳丽及高贵气质让所有宾客、尤其是天成企业的小开吴书怀眼睛为之一亮，不禁对素卿产生爱慕！ 　　素卿下班时，好友洪斌送素卿回家，洪斌一路上看出了素卿的不安，原来她在担心其二妹杨素云失踪一个多月的事情。 　　同时在韩国郊外的山上，一辆跑车极速而上，车中是素云及其交往多年的男朋友王柏东，素云怒责柏东已经变心，柏东断然否认。双方在争执的时候，素云一不小心掉入山崖。柏东怕被人发现，随即驾车而去。 　　书怀每晚必到酒廊，此事终于被书怀的父亲吴天成发觉而发生争执，而继母沈秋问及方知书怀迷恋夜总会的女孩，沈秋叫天成去找素卿谈判；事后素卿反而主动邀约书怀，书怀受宠若惊，和素卿情感进展迅速，此举引来爱慕素卿的洪斌默默担心。 　　素卿对二妹素云的行踪多方查询后，猜测其男友柏东有所隐瞒，因此找来警察调查柏东，却未能查出任何蛛丝马迹，只得作罢，但素卿和三妹素芳决心继续追查……,"生活,情感,偶像"
家庭档案,本剧是一部描写现代家庭情感的电视剧，导演和主创人员皆为电视剧《红蜘蛛》的原班人马。每两集一个故事，通过对十个具有典型性的“问题家庭”的案例分析，向人们提出警示—该以怎样的态度面对家庭矛盾，以维持家庭的圆满，避免悲剧的发生，促进社会的安定团结。剧中通过十个家庭案件，揭示出个人内心的虚弱，描绘了人们由于情感错位引起的犯罪。导演将通过“情感十戒”向观众警示：每个人都应保持对生存的警戒，坚守生存规范。 　   该剧延续了《红蜘蛛》的纪实风格，并且加强了整体的艺术性。都晓介绍说，《家庭档案》不完全是纪实，但故事却力求真实，贴近老百姓的生活。为此，在演员的选择上剧组拒绝大腕加盟，选用一些实力很强的演员，除了史可、李婷、刘冠军等几位观众熟悉的演员外，大多数演员都是新面孔。,"生活,偶像"
情惑,《情惑》的剧情讲的是时代新报记者罗东与恋爱多年的女友陈晓云正准备结婚，却遇到了一些怪事，好像有人阻止他结婚。他想到了他的初恋女友刘子雯。罗东和刘子雯在大学是一对亲密恋人。毕业分配时，陈晓云的父亲可以把罗东安排到大城市报社当记者，这是罗东的梦想，可他无法背叛自己的爱情。在罗东的爱情与事业遭遇了矛盾的时候，梁大新等好友从中作梗，善良的刘子雯悄然离开了罗东。当罗东知道刘子雯离开他的原因时，刘子雯已经音讯全无。罗东费尽周折找到刘子雯的单位，却被告知刘子雯在八年前因伤心过度死了。失去线索的罗东偶然发现同事田美玲是刘子雯的表妹，原来田美玲为了给表姐鸣不平，在作弄罗东。经历了这些事后，罗东毅然去追寻对自己产生误会而又遭受伤害的陈晓云，向他剖析了自己的情感经历，终于得到谅解，有情人终成眷属。,"悬疑,生活,情感,偶像"
背后,中国首部揭露医疗黑幕纪实。本剧以客观的视角，纪实的手法，全面系统展示了当今医患矛盾的现状。在20多个案例中，医院如何不负责任坑害患者，患者为自己利益如何讹诈医院，医药代表与大夫的钱色交易，医疗改革的艰难，人道主义与经济利益之间的尴尬，医疗事故处理和手术风险的法律问题等等，是我国第一部深刻的直面医疗现状的电视剧…………,"生活,偶像"
